Validation Result: FAILURE

Level,Path,Validation Type,Message
WARNING,"""/Data File Distribution/items/properties/Distribution Query Statement""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Distribution/items/properties/Distribution Size""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, bibo:status, multiValued, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Award Local Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Award Page Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Award Title""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Funder Identifier Scheme Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Funder Identifier Scheme""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Funder Identifier""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
WARNING,"""/Data File Funding Source/items/properties/Funder Name""",SCHEMA_VALIDATION,"the following keywords are unknown and will be ignored: [@context, @id, @type, _ui, _valueConstraints, bibo:status, oslc:modifiedBy, pav:createdBy, pav:createdOn, pav:derivedFrom, pav:lastUpdatedOn, pav:version, schema:description, schema:identifier, schema:name, schema:schemaVersion, skos:altLabel, skos:prefLabel]"
